,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
6,0.5,0.1,0.6000000000000001,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,0.7000000000000001,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,0.8,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,0.9,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.1,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.2000000000000002,0.25,0.5,0.25,0.05,0.0,1.1856905000000002,1.372035,1.582681,1.81898155
13,0.5,0.1,1.3,0.25,0.5,0.25,0.05,0.550389725,1.0713072499999998,1.3758855,1.74790825,2.12995805
14,0.5,0.1,1.4,0.25,0.5,0.25,0.05,0.474364475,1.04589725,1.250614,1.53432675,2.1663748500000004
0,0.5,0.1,0.0,0.25,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,0.1,0.25,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,0.2,0.25,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,0.30000000000000004,0.25,0.5,0.75,0.05,0.0,0.587288,0.847173,1.215041,1.596396
4,0.5,0.1,0.4,0.25,0.5,0.75,0.05,0.415465,0.741563,0.93188,1.122092,1.6072606000000003
5,0.5,0.1,0.5,0.25,0.5,0.75,0.05,0.374189375,0.6955165000000001,0.8769959999999999,1.0595459999999999,1.481179575
6,0.5,0.1,0.6000000000000001,0.25,0.5,0.75,0.05,0.3449709,0.650184,0.819319,0.996243,1.3957134999999998
7,0.5,0.1,0.7000000000000001,0.25,0.5,0.75,0.05,0.3693285250000001,0.6791965,0.8563360000000001,1.03874025,1.4535968750000006
8,0.5,0.1,0.8,0.25,0.5,0.75,0.05,0.3636708500000001,0.6774715,0.855568,1.0402705,1.4574796500000002
9,0.5,0.1,0.9,0.25,0.5,0.75,0.05,0.35335520000000004,0.665435,0.841038,1.017366,1.420819
10,0.5,0.1,1.0,0.25,0.5,0.75,0.05,0.3408454,0.6523875,0.8254135,1.00491625,1.3838402249999997
11,0.5,0.1,1.1,0.25,0.5,0.75,0.05,0.33306562500000003,0.635257,0.8006234999999999,0.972893,1.330275
12,0.5,0.1,1.2000000000000002,0.25,0.5,0.75,0.05,0.34663565,0.650216,0.8202809999999999,0.99784125,1.3701045249999997
13,0.5,0.1,1.3,0.25,0.5,0.75,0.05,0.34397665,0.652559,0.824534,1.006155,1.38663645
14,0.5,0.1,1.4,0.25,0.5,0.75,0.05,0.337287,0.64631175,0.8175475,0.994854,1.3774928750000002
0,0.5,0.1,0.0,0.25,0.5,1.5,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,0.1,0.25,0.5,1.5,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,0.2,0.25,0.5,1.5,0.05,0.37768915,0.7012895,0.8859049999999999,1.079575,1.3915274999999998
